Num,Depart,Imentorn,Imgastron,Imcostviaje,Imvidanoct,Imalojamien,Imarte,Compa,Motivo,Destino,Estancia,Sexo
1,2,7.63,7.63,8.47,11.06,3.39,61.02,4,3,1,6,1
2,1,30.2,4.5,3.25,18.05,13.53,11.28,2,3,2,4,2
3,4,22.72,6.32,46.18,21.52,10.76,25.32,4,3,2,4,2
4,1,20.63,3.32,25.68,19.81,0,8.49,4,3,1,1,1
5,4,40.91,6.11,7.37,4.31,6.42,27.27,4,4,1,3,1
6,1,7.38,1.17,16.23,60.12,4.23,12.5,4,6,1,3,1
7,1,2.85,14.88,36.21,3.15,7.23,8.06,1,3,2,6,2
8,1,11.19,16.13,34.59,11.01,2.75,18.35,3,1,2,4,2
9,1,7.2,0.67,14,22.3,6.47,21.58,3,3,2,4,2
10,1,2.3,7.8,45.36,17.31,8.33,22.44,4,1,3,5,1
11,1,4.8,10.4,10.9,10.17,3.39,56.78,1,4,2,5,2
12,1,14.19,25,27.7,3.38,6.76,22.97,4,5,3,1,2
13,4,40.28,8.33,14.58,15.97,11.81,9.03,4,2,1,5,2
14,4,28.76,17.65,25.49,6.54,5.88,15.69,4,5,2,3,2
15,4,13.33,16.67,9.33,34,8.67,18,2,5,2,1,2
17,1,13.01,3.25,3.25,56.91,7.32,16.26,1,3,1,5,1
18,1,64.86,5.41,18.02,4.5,3.6,3.6,3,5,1,5,2
19,1,6.14,7.02,10.53,63.16,3.51,9.65,3,3,1,6,1
20,1,11.18,3.29,21.71,26.32,13.16,24.34,4,3,2,4,2
21,1,56.45,4.03,10.48,14.52,8.06,6.45,4,3,2,3,1
22,1,14.77,11.41,11.41,8.72,20.13,33.56,3,5,3,2,2
23,1,25.19,6.87,45.56,3.82,9.92,7.63,4,2,1,4,2
24,1,44,5.6,15.2,4,12,19.2,4,3,2,5,2
25,1,11.19,6.99,33.57,36.36,4.2,7.69,3,5,2,4,2
26,4,43.2,9.6,5.6,28,8.8,4.8,3,5,2,1,2
27,1,64.29,19.64,1.79,2.68,5.36,6.25,4,5,1,3,2
29,1,7.09,4.26,24.11,43.97,10.64,9.93,2,5,2,3,1
30,2,22.3,8.63,35.25,3.6,19.42,10.79,1,2,2,5,1
31,1,61.02,11.02,4.24,13.56,4.24,5.93,3,3,1,4,1
16,4,1.85,2.78,66.67,1.85,22.22,4.63,2,3,1,3,2
28,4,23.3,1.94,2.91,0,69.9,1.94,3,5,1,1,2
