,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,4.3,3.0,1.1,0.1,Iris-setosa
1,4.4,2.9,1.4,0.2,Iris-setosa
2,4.4,3.0,1.3,0.2,Iris-setosa
3,4.4,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,4.6,3.2,1.4,0.2,Iris-setosa
6,4.7,3.2,1.6,0.2,Iris-setosa
7,4.8,3.0,1.4,0.1,Iris-setosa
8,4.8,3.0,1.4,0.3,Iris-setosa
9,4.8,3.1,1.6,0.2,Iris-setosa
10,4.8,3.4,1.6,0.2,Iris-setosa
11,4.9,2.4,3.3,1.0,Iris-versicolor
12,4.9,2.5,4.5,1.7,Iris-virginica
13,4.9,3.1,1.5,0.1,Iris-setosa
14,5.0,2.0,3.5,1.0,Iris-versicolor
15,5.0,2.3,3.3,1.0,Iris-versicolor
16,5.0,3.0,1.6,0.2,Iris-setosa
17,5.0,3.4,1.5,0.2,Iris-setosa
18,5.0,3.4,1.6,0.4,Iris-setosa
19,5.0,3.5,1.3,0.3,Iris-setosa
20,5.0,3.5,1.6,0.6,Iris-setosa
21,5.0,3.6,1.4,0.2,Iris-setosa
22,5.1,2.5,3.0,1.1,Iris-versicolor
23,5.1,3.5,1.4,0.3,Iris-setosa
24,5.1,3.7,1.5,0.4,Iris-setosa
25,5.1,3.8,1.5,0.3,Iris-setosa
26,5.1,3.8,1.6,0.2,Iris-setosa
27,5.2,2.7,3.9,1.4,Iris-versicolor
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,4.1,1.5,0.1,Iris-setosa
30,5.4,3.0,4.5,1.5,Iris-versicolor
31,5.4,3.4,1.5,0.4,Iris-setosa
32,5.4,3.4,1.7,0.2,Iris-setosa
33,5.4,3.9,1.3,0.4,Iris-setosa
34,5.4,3.9,1.7,0.4,Iris-setosa
35,5.5,2.4,3.7,1.0,Iris-versicolor
36,5.5,2.4,3.8,1.1,Iris-versicolor
37,5.5,2.5,4.0,1.3,Iris-versicolor
38,5.5,2.6,4.4,1.2,Iris-versicolor
39,5.5,4.2,1.4,0.2,Iris-setosa
40,5.6,2.7,4.2,1.3,Iris-versicolor
41,5.6,2.8,4.9,2.0,Iris-virginica
42,5.6,3.0,4.1,1.3,Iris-versicolor
43,5.7,2.5,5.0,2.0,Iris-virginica
44,5.7,2.6,3.5,1.0,Iris-versicolor
45,5.7,2.8,4.1,1.3,Iris-versicolor
46,5.7,2.9,4.2,1.3,Iris-versicolor
47,5.7,3.0,4.2,1.2,Iris-versicolor
48,5.7,3.8,1.7,0.3,Iris-setosa
49,5.8,2.6,4.0,1.2,Iris-versicolor
50,5.8,2.7,4.1,1.0,Iris-versicolor
51,5.8,2.7,5.1,1.9,Iris-virginica
52,5.8,2.7,5.1,1.9,Iris-virginica
53,5.8,2.8,5.1,2.4,Iris-virginica
54,5.8,4.0,1.2,0.2,Iris-setosa
55,5.9,3.0,4.2,1.5,Iris-versicolor
56,5.9,3.2,4.8,1.8,Iris-versicolor
57,6.0,2.2,4.0,1.0,Iris-versicolor
58,6.0,2.7,5.1,1.6,Iris-versicolor
59,6.0,2.9,4.5,1.5,Iris-versicolor
60,6.1,2.8,4.7,1.2,Iris-versicolor
61,6.1,2.9,4.7,1.4,Iris-versicolor
62,6.1,3.0,4.6,1.4,Iris-versicolor
63,6.1,3.0,4.9,1.8,Iris-virginica
64,6.2,2.2,4.5,1.5,Iris-versicolor
65,6.2,2.8,4.8,1.8,Iris-virginica
66,6.2,2.9,4.3,1.3,Iris-versicolor
67,6.3,2.3,4.4,1.3,Iris-versicolor
68,6.3,2.5,5.0,1.9,Iris-virginica
69,6.3,2.7,4.9,1.8,Iris-virginica
70,6.3,2.8,5.1,1.5,Iris-virginica
71,6.3,3.3,4.7,1.6,Iris-versicolor
72,6.3,3.3,6.0,2.5,Iris-virginica
73,6.3,3.4,5.6,2.4,Iris-virginica
74,6.4,2.7,5.3,1.9,Iris-virginica
75,6.4,2.8,5.6,2.2,Iris-virginica
76,6.4,3.1,5.5,1.8,Iris-virginica
77,6.5,3.0,5.2,2.0,Iris-virginica
78,6.5,3.2,5.1,2.0,Iris-virginica
79,6.6,3.0,4.4,1.4,Iris-versicolor
80,6.7,2.5,5.8,1.8,Iris-virginica
81,6.7,3.0,5.0,1.7,Iris-versicolor
82,6.7,3.0,5.2,2.3,Iris-virginica
83,6.7,3.1,4.4,1.4,Iris-versicolor
84,6.7,3.1,4.7,1.5,Iris-versicolor
85,6.7,3.1,5.6,2.4,Iris-virginica
86,6.8,2.8,4.8,1.4,Iris-versicolor
87,6.8,3.0,5.5,2.1,Iris-virginica
88,6.8,3.2,5.9,2.3,Iris-virginica
89,6.9,3.1,4.9,1.5,Iris-versicolor
90,6.9,3.1,5.1,2.3,Iris-virginica
91,6.9,3.2,5.7,2.3,Iris-virginica
92,7.0,3.2,4.7,1.4,Iris-versicolor
93,7.1,3.0,5.9,2.1,Iris-virginica
94,7.2,3.0,5.8,1.6,Iris-virginica
95,7.2,3.2,6.0,1.8,Iris-virginica
96,7.2,3.6,6.1,2.5,Iris-virginica
97,7.3,2.9,6.3,1.8,Iris-virginica
98,7.4,2.8,6.1,1.9,Iris-virginica
99,7.6,3.0,6.6,2.1,Iris-virginica
100,7.7,2.8,6.7,2.0,Iris-virginica
101,7.7,3.8,6.7,2.2,Iris-virginica
102,7.9,3.8,6.4,2.0,Iris-virginica
